label,message
spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005  text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s
spam,freemsg hey there darling it s been 3 week s now and no word back  i d like some fun you up for it still  tb ok  xxx std chgs to send  â 1 50 to rcv
spam,winner   as a valued network customer you have been selected to receivea â 900 prize reward  to claim call 09061701461  claim code kl341  valid 12 hours only
spam,had your mobile 11 months or more  u r entitled to update to the latest colour mobiles with camera for free  call the mobile update co free on 08002986030
spam,six chances to win cash  from 100 to 20 000 pounds txt  csh11 and send to 87575  cost 150p day  6days  16  tsandcs apply reply hl 4 info
spam,urgent  you have won a 1 week free membership in our â 100 000 prize jackpot  txt the word  claim to no  81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18
spam,xxxmobilemovieclub  to use your credit  click the wap link in the next txt message or click here   http   wap  xxxmobilemovieclub com n qjkgighjjgcbl
spam,england v macedonia   dont miss the goals team news  txt ur national team to 87077 eg england to 87077 try wales  scotland 4txt ãº1 20 poboxox36504w45wq 16
spam,thanks for your subscription to ringtone uk your mobile will be charged â 5 month please confirm by replying yes or no  if you reply no you will not be charged
spam,07732584351   rodger burns   msg   we tried to call you re your reply to our sms for a free nokia mobile   free camcorder  please call now 08000930705 for delivery tomorrow
spam,sms  ac sptv  the new jersey devils and the detroit red wings play ice hockey  correct or incorrect  end  reply end sptv
spam,congrats  1 year special cinema pass for 2 is yours  call 09061209465 now  c suprman v  matrix3  starwars3  etc all 4 free  bx420 ip4 5we  150pm  dont miss out
spam,as a valued customer  i am pleased to advise you that following recent review of your mob no  you are awarded with a â 1500 bonus prize  call 09066364589
spam,urgent ur awarded a complimentary trip to eurodisinc trav  aco entry41 or â 1000  to claim txt dis to 87121 18 6 â 1 50 morefrmmob  shracomorsglsuplt 10  ls1 3aj
spam,did you hear about the new  divorce barbie   it comes with all of ken s stuff
spam,please call our customer service representative on 0800 169 6031 between 10am 9pm as you have won a guaranteed â 1000 cash or â 5000 prize
spam,your free ringtone is waiting to be collected  simply text the password  mix  to 85069 to verify  get usher and britney  fml  po box 5249  mk17 92h  450ppw 16
spam,gent  we are trying to contact you  last weekends draw shows that you won a â 1000 prize guaranteed  call 09064012160  claim code k52  valid 12hrs only  150ppm
spam,you are a winner u have been specially selected 2 receive â 1000 or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810910p min  18
